Curah Hujan (mm),Ketinggian Sungai (cm),Debit Air (m³/s),Luas Resapan (%),Drainase (skor 1-10),Kondisi Cuaca,Label
182,161,552,70,7,Hujan Berat,Banjir
64,76,222,35,4,Hujan Ringan,Tidak
111,118,392,67,4,Hujan Sedang,Banjir
62,77,240,44,9,Hujan Sedang,Tidak
132,147,497,27,6,Hujan Berat,Banjir
49,78,323,18,2,Hujan Ringan,Banjir
108,104,349,59,9,Hujan Sedang,Tidak
60,59,194,71,5,Hujan Sedang,Tidak
92,92,377,60,9,Hujan Sedang,Tidak
37,61,229,22,4,Hujan Ringan,Tidak
198,170,567,64,3,Hujan Berat,Banjir
60,71,306,58,3,Hujan Ringan,Tidak
164,151,620,58,4,Hujan Berat,Banjir
153,134,499,49,5,Hujan Berat,Banjir
66,77,317,59,6,Hujan Sedang,Tidak
72,74,305,21,8,Hujan Sedang,Tidak
120,119,441,59,5,Hujan Berat,Banjir
156,140,520,66,9,Hujan Berat,Banjir
38,52,198,43,8,Hujan Ringan,Tidak
69,87,250,66,8,Hujan Sedang,Tidak
65,68,283,37,4,Hujan Ringan,Tidak
114,110,327,39,8,Hujan Sedang,Banjir
116,122,478,49,7,Hujan Sedang,Banjir
124,106,407,51,5,Hujan Berat,Banjir
39,46,174,57,6,Hujan Ringan,Tidak
182,173,640,77,2,Hujan Berat,Banjir
76,101,354,76,3,Hujan Sedang,Banjir
35,62,188,15,9,Hujan Ringan,Tidak
114,103,290,57,8,Hujan Sedang,Tidak
40,49,166,29,6,Hujan Ringan,Tidak
186,164,553,41,8,Hujan Berat,Banjir
125,135,469,16,4,Hujan Berat,Banjir
34,52,148,64,3,Hujan Ringan,Tidak
33,46,171,66,3,Hujan Ringan,Tidak
66,80,308,70,7,Hujan Ringan,Tidak
157,143,541,79,7,Hujan Berat,Banjir
64,65,275,25,6,Hujan Sedang,Tidak
89,93,372,51,4,Hujan Sedang,Banjir
118,116,411,29,8,Hujan Berat,Banjir
55,71,325,26,8,Hujan Ringan,Tidak
184,157,468,20,6,Hujan Berat,Banjir
82,91,322,55,6,Hujan Sedang,Tidak
58,72,268,66,8,Hujan Ringan,Tidak
53,75,308,38,2,Hujan Ringan,Banjir
194,164,540,42,5,Hujan Berat,Banjir
55,70,276,24,6,Hujan Ringan,Tidak
81,86,268,49,7,Hujan Sedang,Tidak
40,54,198,51,4,Hujan Ringan,Tidak
50,74,242,23,2,Hujan Ringan,Banjir
156,152,472,53,9,Hujan Berat,Banjir
107,113,321,50,7,Hujan Sedang,Banjir
67,80,275,44,4,Hujan Sedang,Tidak
197,175,482,26,5,Hujan Berat,Banjir
48,73,256,15,8,Hujan Ringan,Tidak
104,92,315,30,3,Hujan Sedang,Banjir
102,119,397,29,8,Hujan Sedang,Banjir
60,76,254,61,9,Hujan Sedang,Tidak
37,56,206,36,4,Hujan Ringan,Tidak
150,153,412,50,2,Hujan Berat,Banjir
94,94,266,64,3,Hujan Sedang,Banjir
31,61,259,74,6,Hujan Ringan,Tidak
60,74,237,56,3,Hujan Ringan,Tidak
36,51,213,70,4,Hujan Ringan,Tidak
188,159,593,71,5,Hujan Berat,Banjir
118,107,443,65,3,Hujan Sedang,Banjir
145,138,455,72,2,Hujan Berat,Banjir
89,84,347,46,7,Hujan Sedang,Tidak
97,93,290,37,4,Hujan Sedang,Banjir
125,121,354,25,7,Hujan Berat,Banjir
40,62,175,51,7,Hujan Ringan,Tidak
195,165,599,41,5,Hujan Berat,Banjir
32,54,262,32,4,Hujan Ringan,Tidak
55,76,283,69,9,Hujan Ringan,Tidak
71,76,239,62,4,Hujan Sedang,Tidak
177,187,513,66,7,Hujan Berat,Banjir
87,104,333,37,7,Hujan Sedang,Banjir
192,161,437,21,3,Hujan Berat,Banjir
84,80,278,70,6,Hujan Sedang,Tidak
44,68,261,72,9,Hujan Ringan,Tidak
85,95,377,73,2,Hujan Sedang,Banjir
106,110,430,65,9,Hujan Sedang,Banjir
52,71,247,45,7,Hujan Ringan,Tidak
43,62,231,69,9,Hujan Ringan,Tidak
121,104,355,22,7,Hujan Berat,Banjir
69,86,234,69,5,Hujan Ringan,Tidak
62,80,328,36,9,Hujan Ringan,Tidak
40,47,161,66,3,Hujan Ringan,Tidak
87,80,315,76,8,Hujan Sedang,Tidak
115,97,333,24,4,Hujan Sedang,Banjir
66,91,337,32,7,Hujan Sedang,Tidak
59,74,277,50,9,Hujan Ringan,Tidak
59,77,290,38,5,Hujan Ringan,Tidak
78,74,215,17,2,Hujan Sedang,Banjir
97,98,321,48,7,Hujan Sedang,Banjir
35,51,199,77,4,Hujan Ringan,Tidak
82,103,412,28,8,Hujan Sedang,Banjir
109,120,448,32,2,Hujan Sedang,Banjir
154,146,566,25,2,Hujan Berat,Banjir
128,110,402,25,8,Hujan Berat,Banjir
111,123,412,36,5,Hujan Berat,Banjir
155,158,619,51,7,Hujan Berat,Banjir
60,73,283,75,2,Hujan Sedang,Tidak
122,134,448,41,4,Hujan Berat,Banjir
60,92,289,38,9,Hujan Ringan,Tidak
65,76,269,67,8,Hujan Ringan,Tidak
187,197,562,47,2,Hujan Berat,Banjir
67,68,238,49,6,Hujan Ringan,Tidak
105,103,351,45,9,Hujan Sedang,Banjir
75,80,271,79,5,Hujan Sedang,Tidak
84,91,360,45,5,Hujan Sedang,Banjir
151,163,649,31,3,Hujan Berat,Banjir
49,73,234,78,8,Hujan Ringan,Tidak
187,186,734,53,6,Hujan Berat,Banjir
62,61,216,49,2,Hujan Sedang,Tidak
60,75,238,46,9,Hujan Sedang,Tidak
108,108,435,16,3,Hujan Sedang,Banjir
44,74,317,43,4,Hujan Ringan,Tidak
110,134,529,17,5,Hujan Sedang,Banjir
120,136,545,24,3,Hujan Berat,Banjir
64,78,220,57,9,Hujan Ringan,Tidak
56,66,225,24,4,Hujan Ringan,Tidak
61,74,274,57,3,Hujan Ringan,Tidak
113,109,454,67,2,Hujan Sedang,Banjir
190,169,634,41,4,Hujan Berat,Banjir
112,106,293,57,6,Hujan Sedang,Banjir
66,73,275,59,7,Hujan Ringan,Tidak
58,73,320,58,6,Hujan Ringan,Tidak
34,50,205,66,9,Hujan Ringan,Tidak
73,81,254,25,4,Hujan Sedang,Banjir
102,116,407,47,6,Hujan Sedang,Banjir
92,100,342,62,2,Hujan Sedang,Banjir
31,57,241,26,4,Hujan Ringan,Tidak
64,76,306,35,3,Hujan Sedang,Banjir
135,148,532,61,6,Hujan Berat,Banjir
102,122,419,75,8,Hujan Sedang,Banjir
97,124,372,39,2,Hujan Sedang,Banjir
35,59,243,77,3,Hujan Ringan,Tidak
64,85,363,23,9,Hujan Sedang,Tidak
66,78,224,60,5,Hujan Ringan,Tidak
67,80,365,45,3,Hujan Sedang,Banjir
68,65,255,50,7,Hujan Ringan,Tidak
48,57,198,46,4,Hujan Ringan,Tidak
112,107,413,74,7,Hujan Berat,Banjir
128,141,446,19,7,Hujan Berat,Banjir
152,118,427,55,7,Hujan Berat,Banjir
114,99,291,32,6,Hujan Berat,Banjir
99,98,346,68,8,Hujan Sedang,Tidak
195,189,522,78,5,Hujan Berat,Banjir
38,46,152,68,3,Hujan Ringan,Tidak
105,111,443,20,5,Hujan Sedang,Banjir
89,105,342,45,8,Hujan Sedang,Tidak
152,126,432,79,9,Hujan Berat,Banjir
107,92,288,52,2,Hujan Sedang,Banjir
79,82,286,16,2,Hujan Sedang,Banjir
46,56,241,35,3,Hujan Ringan,Tidak
34,68,243,51,9,Hujan Ringan,Tidak
165,139,428,65,5,Hujan Berat,Banjir
47,53,191,52,3,Hujan Ringan,Tidak
58,67,263,33,3,Hujan Ringan,Tidak
165,150,417,24,5,Hujan Berat,Banjir
181,173,699,54,2,Hujan Berat,Banjir
150,135,544,79,5,Hujan Berat,Banjir
78,70,225,52,4,Hujan Sedang,Tidak
90,83,342,69,9,Hujan Sedang,Tidak
42,61,179,76,8,Hujan Ringan,Tidak
82,92,322,68,3,Hujan Sedang,Banjir
74,92,339,39,3,Hujan Sedang,Banjir
51,79,323,55,6,Hujan Ringan,Tidak
122,139,412,23,8,Hujan Berat,Banjir
111,130,519,22,3,Hujan Sedang,Banjir
100,125,505,33,2,Hujan Sedang,Banjir
152,136,470,35,7,Hujan Berat,Banjir
47,74,330,16,9,Hujan Ringan,Tidak
84,97,374,39,9,Hujan Sedang,Tidak
97,102,404,74,9,Hujan Sedang,Tidak
110,128,370,27,7,Hujan Sedang,Banjir
77,83,308,28,9,Hujan Sedang,Tidak
69,80,295,31,9,Hujan Ringan,Tidak
57,71,231,72,6,Hujan Ringan,Tidak
95,93,395,36,8,Hujan Sedang,Banjir
149,152,477,62,4,Hujan Berat,Banjir
41,62,195,44,6,Hujan Ringan,Tidak
49,63,224,74,3,Hujan Ringan,Tidak
74,92,338,21,2,Hujan Sedang,Banjir
162,156,643,25,7,Hujan Berat,Banjir
94,83,291,23,8,Hujan Sedang,Banjir
35,42,190,42,7,Hujan Ringan,Tidak
197,165,481,47,5,Hujan Berat,Banjir
84,90,281,16,8,Hujan Sedang,Banjir
67,88,317,43,9,Hujan Ringan,Tidak
95,94,340,27,6,Hujan Sedang,Banjir
57,71,259,51,5,Hujan Ringan,Tidak
67,73,288,64,5,Hujan Ringan,Tidak
92,110,436,32,6,Hujan Sedang,Banjir
114,126,423,75,9,Hujan Sedang,Banjir
149,138,446,32,5,Hujan Berat,Banjir
32,42,202,67,6,Hujan Ringan,Tidak
36,46,154,42,3,Hujan Ringan,Tidak
185,159,429,58,2,Hujan Berat,Banjir
61,87,269,23,5,Hujan Ringan,Banjir
160,146,446,53,5,Hujan Berat,Banjir
145,154,581,44,9,Hujan Berat,Banjir
64,74,309,46,9,Hujan Ringan,Tidak
49,70,312,42,2,Hujan Ringan,Banjir
188,144,492,24,6,Hujan Berat,Banjir
180,191,619,33,6,Hujan Berat,Banjir
54,69,306,24,8,Hujan Ringan,Tidak
37,55,257,29,6,Hujan Ringan,Tidak
44,62,250,17,3,Hujan Ringan,Tidak
116,116,417,74,3,Hujan Sedang,Banjir
120,111,405,67,4,Hujan Berat,Banjir
66,81,293,18,6,Hujan Sedang,Banjir
197,155,504,48,2,Hujan Berat,Banjir
49,56,208,74,7,Hujan Ringan,Tidak
78,85,315,40,3,Hujan Sedang,Banjir
47,78,299,23,3,Hujan Ringan,Banjir
80,93,374,55,4,Hujan Sedang,Banjir
63,82,271,73,3,Hujan Sedang,Tidak
39,60,221,66,7,Hujan Ringan,Tidak
64,88,298,75,7,Hujan Sedang,Tidak
177,185,532,30,6,Hujan Berat,Banjir
166,130,405,77,2,Hujan Berat,Banjir
132,134,352,23,3,Hujan Berat,Banjir
59,77,280,70,3,Hujan Ringan,Tidak
97,105,291,74,6,Hujan Sedang,Tidak
35,56,186,19,8,Hujan Ringan,Tidak
113,102,306,61,4,Hujan Sedang,Banjir
45,58,209,45,4,Hujan Ringan,Tidak
32,54,193,18,9,Hujan Ringan,Tidak
82,100,288,53,3,Hujan Sedang,Banjir
76,80,273,38,4,Hujan Sedang,Banjir
50,67,234,40,9,Hujan Ringan,Tidak
49,52,163,33,2,Hujan Ringan,Tidak
72,90,347,29,2,Hujan Sedang,Banjir
97,104,305,35,3,Hujan Sedang,Banjir
77,92,393,19,5,Hujan Sedang,Banjir
101,126,345,58,7,Hujan Sedang,Banjir
105,127,433,16,2,Hujan Sedang,Banjir
53,70,197,79,5,Hujan Ringan,Tidak
35,61,251,67,9,Hujan Ringan,Tidak
43,48,202,59,6,Hujan Ringan,Tidak
63,59,250,35,3,Hujan Ringan,Tidak
119,113,474,27,4,Hujan Sedang,Banjir
94,85,256,77,3,Hujan Sedang,Tidak
61,79,294,59,4,Hujan Ringan,Tidak
57,63,268,63,4,Hujan Ringan,Tidak
93,99,364,78,8,Hujan Sedang,Tidak
37,68,234,52,7,Hujan Ringan,Tidak
67,83,267,29,5,Hujan Sedang,Tidak
56,83,353,38,3,Hujan Ringan,Banjir
171,140,536,43,7,Hujan Berat,Banjir
40,62,246,24,4,Hujan Ringan,Tidak
133,139,423,62,8,Hujan Berat,Banjir
95,119,356,36,5,Hujan Sedang,Banjir
106,86,294,59,5,Hujan Sedang,Banjir
57,59,222,36,9,Hujan Ringan,Tidak
57,70,228,60,6,Hujan Ringan,Tidak
33,60,223,65,4,Hujan Ringan,Tidak
42,61,202,43,8,Hujan Ringan,Tidak
96,99,404,61,4,Hujan Sedang,Banjir
69,78,219,62,5,Hujan Sedang,Tidak
39,44,180,42,9,Hujan Ringan,Tidak
168,134,448,44,3,Hujan Berat,Banjir
65,73,226,15,8,Hujan Sedang,Tidak
157,123,447,79,7,Hujan Berat,Banjir
38,50,186,77,2,Hujan Ringan,Tidak
66,76,263,59,8,Hujan Ringan,Tidak
70,79,307,60,5,Hujan Sedang,Tidak
114,126,423,40,2,Hujan Berat,Banjir
57,80,259,22,9,Hujan Ringan,Tidak
38,51,151,76,6,Hujan Ringan,Tidak
48,64,190,79,3,Hujan Ringan,Tidak
69,77,271,39,4,Hujan Sedang,Tidak
43,51,167,18,2,Hujan Ringan,Tidak
46,68,235,71,9,Hujan Ringan,Tidak
148,158,523,43,7,Hujan Berat,Banjir
108,99,406,24,7,Hujan Sedang,Banjir
82,94,326,49,3,Hujan Sedang,Banjir
43,54,210,43,4,Hujan Ringan,Tidak
105,107,324,63,5,Hujan Sedang,Banjir
67,80,238,73,7,Hujan Ringan,Tidak
33,49,184,37,5,Hujan Ringan,Tidak
92,99,360,31,5,Hujan Sedang,Banjir
196,170,597,20,5,Hujan Berat,Banjir
117,117,408,67,5,Hujan Sedang,Banjir
53,76,258,77,5,Hujan Ringan,Tidak
39,73,276,60,7,Hujan Ringan,Tidak
156,171,689,73,3,Hujan Berat,Banjir
95,92,309,34,2,Hujan Sedang,Banjir
170,154,494,44,4,Hujan Berat,Banjir
117,99,348,42,4,Hujan Sedang,Banjir
56,83,352,75,7,Hujan Ringan,Tidak
66,89,255,17,6,Hujan Ringan,Banjir
70,92,386,51,4,Hujan Sedang,Banjir
30,57,190,57,2,Hujan Ringan,Tidak
59,66,211,46,2,Hujan Ringan,Tidak
99,99,428,63,8,Hujan Sedang,Banjir
53,57,205,50,8,Hujan Ringan,Tidak
52,71,319,73,2,Hujan Ringan,Tidak
59,76,237,30,8,Hujan Ringan,Tidak
40,63,245,41,6,Hujan Ringan,Tidak
67,75,290,19,9,Hujan Ringan,Tidak
62,67,300,65,4,Hujan Ringan,Tidak
185,155,528,70,9,Hujan Berat,Banjir
50,70,217,40,6,Hujan Ringan,Tidak
72,86,349,27,3,Hujan Sedang,Banjir
140,125,457,45,2,Hujan Berat,Banjir
71,82,325,30,8,Hujan Sedang,Tidak
34,55,210,39,3,Hujan Ringan,Tidak
43,55,169,25,9,Hujan Ringan,Tidak
164,151,540,43,8,Hujan Berat,Banjir
32,50,188,53,5,Hujan Ringan,Tidak
88,100,344,27,8,Hujan Sedang,Banjir
63,71,227,17,6,Hujan Sedang,Tidak
113,102,435,23,5,Hujan Sedang,Banjir
79,87,377,68,8,Hujan Sedang,Tidak
60,62,243,33,3,Hujan Sedang,Tidak
93,101,287,55,3,Hujan Sedang,Banjir
67,75,268,50,9,Hujan Sedang,Tidak
80,103,348,75,6,Hujan Sedang,Tidak
90,93,310,53,7,Hujan Sedang,Tidak
91,102,350,63,4,Hujan Sedang,Banjir
83,90,256,21,2,Hujan Sedang,Banjir
96,112,413,68,8,Hujan Sedang,Tidak
53,58,227,16,9,Hujan Ringan,Tidak
101,97,297,47,2,Hujan Sedang,Banjir
53,56,187,44,5,Hujan Ringan,Tidak
38,48,187,72,9,Hujan Ringan,Tidak
59,65,249,21,5,Hujan Ringan,Tidak
67,67,238,75,8,Hujan Sedang,Tidak
114,118,420,25,5,Hujan Berat,Banjir
199,171,486,70,9,Hujan Berat,Banjir
173,174,720,79,4,Hujan Berat,Banjir
112,99,311,71,8,Hujan Sedang,Tidak
144,140,435,35,6,Hujan Berat,Banjir
81,86,349,51,3,Hujan Sedang,Banjir
96,94,346,21,6,Hujan Sedang,Banjir
116,124,373,39,6,Hujan Sedang,Banjir
60,80,315,15,7,Hujan Sedang,Tidak
35,66,267,77,6,Hujan Ringan,Tidak
66,64,201,21,5,Hujan Sedang,Tidak
56,57,211,28,5,Hujan Ringan,Tidak
56,67,240,21,9,Hujan Ringan,Tidak
88,89,298,45,3,Hujan Sedang,Banjir
94,90,330,75,3,Hujan Sedang,Banjir
59,66,214,39,8,Hujan Ringan,Tidak
50,67,236,62,6,Hujan Ringan,Tidak
64,78,223,21,8,Hujan Ringan,Tidak
68,78,238,48,9,Hujan Ringan,Tidak
48,66,224,43,6,Hujan Ringan,Tidak
60,65,232,68,6,Hujan Ringan,Tidak
62,75,322,56,6,Hujan Sedang,Tidak
50,69,197,56,7,Hujan Ringan,Tidak
120,105,416,69,7,Hujan Berat,Banjir
57,69,253,67,4,Hujan Ringan,Tidak
44,60,253,71,2,Hujan Ringan,Tidak
159,151,458,56,7,Hujan Berat,Banjir
84,113,390,21,5,Hujan Sedang,Banjir
120,110,418,18,9,Hujan Berat,Banjir
104,105,458,46,6,Hujan Sedang,Banjir
65,78,332,65,7,Hujan Ringan,Tidak
63,67,294,62,9,Hujan Ringan,Tidak
90,105,388,27,7,Hujan Sedang,Banjir
70,81,298,54,3,Hujan Sedang,Banjir
116,99,366,16,4,Hujan Sedang,Banjir
44,51,246,47,3,Hujan Ringan,Tidak
56,58,193,71,4,Hujan Ringan,Tidak
32,55,211,31,7,Hujan Ringan,Tidak
31,47,186,52,9,Hujan Ringan,Tidak
114,119,422,54,5,Hujan Sedang,Banjir
51,58,274,15,5,Hujan Ringan,Tidak
134,126,333,57,9,Hujan Berat,Banjir
66,79,340,28,9,Hujan Sedang,Tidak
74,82,280,28,7,Hujan Sedang,Tidak
103,109,366,58,3,Hujan Sedang,Banjir
30,58,188,24,2,Hujan Ringan,Tidak
64,72,307,40,8,Hujan Ringan,Tidak
101,109,366,77,8,Hujan Sedang,Tidak
101,97,348,15,9,Hujan Sedang,Banjir
134,140,501,73,4,Hujan Berat,Banjir
43,47,180,66,6,Hujan Ringan,Tidak
94,115,304,23,9,Hujan Sedang,Banjir
67,66,200,39,2,Hujan Ringan,Tidak
71,86,339,60,4,Hujan Sedang,Tidak
57,76,258,73,9,Hujan Ringan,Tidak
138,135,431,74,6,Hujan Berat,Banjir
129,135,551,46,7,Hujan Berat,Banjir
68,69,288,70,7,Hujan Sedang,Tidak
124,131,492,60,9,Hujan Berat,Banjir
46,58,209,72,2,Hujan Ringan,Tidak
63,80,248,37,8,Hujan Ringan,Tidak
91,97,341,76,9,Hujan Sedang,Tidak
36,53,200,61,6,Hujan Ringan,Tidak
68,63,215,46,2,Hujan Sedang,Tidak
111,101,327,32,3,Hujan Sedang,Banjir
116,112,378,25,6,Hujan Sedang,Banjir
64,74,255,52,8,Hujan Sedang,Tidak
62,65,191,73,3,Hujan Sedang,Tidak
63,82,288,15,7,Hujan Sedang,Tidak
61,69,191,63,3,Hujan Ringan,Tidak
198,164,698,36,2,Hujan Berat,Banjir
118,100,371,50,7,Hujan Sedang,Banjir
64,92,256,67,5,Hujan Ringan,Tidak
169,153,442,31,7,Hujan Berat,Banjir
106,104,366,76,3,Hujan Sedang,Banjir
144,135,454,41,2,Hujan Berat,Banjir
96,118,349,34,2,Hujan Sedang,Banjir
54,63,233,75,9,Hujan Ringan,Tidak
59,73,248,76,5,Hujan Ringan,Tidak
76,94,374,22,7,Hujan Sedang,Banjir
82,91,283,76,5,Hujan Sedang,Tidak
92,108,294,55,6,Hujan Sedang,Banjir
114,111,402,41,3,Hujan Sedang,Banjir
59,74,300,75,2,Hujan Ringan,Tidak
103,101,438,49,4,Hujan Sedang,Banjir
176,135,415,58,3,Hujan Berat,Banjir
75,80,280,74,5,Hujan Sedang,Tidak
63,64,180,43,9,Hujan Ringan,Tidak
72,93,266,31,3,Hujan Sedang,Banjir
134,128,444,36,4,Hujan Berat,Banjir
112,121,426,29,4,Hujan Sedang,Banjir
131,151,549,79,9,Hujan Berat,Banjir
175,171,535,69,4,Hujan Berat,Banjir
39,67,284,23,3,Hujan Ringan,Tidak
52,58,274,79,9,Hujan Ringan,Tidak
176,165,666,48,2,Hujan Berat,Banjir
124,112,369,79,5,Hujan Berat,Banjir
182,186,533,33,9,Hujan Berat,Banjir
153,120,417,29,4,Hujan Berat,Banjir
60,83,318,72,9,Hujan Ringan,Tidak
40,57,220,36,2,Hujan Ringan,Tidak
99,119,503,50,2,Hujan Sedang,Banjir
100,93,365,75,7,Hujan Sedang,Tidak
57,65,279,44,4,Hujan Ringan,Tidak
86,88,281,23,6,Hujan Sedang,Banjir
111,126,355,24,6,Hujan Berat,Banjir
78,94,308,22,8,Hujan Sedang,Tidak
62,81,250,63,5,Hujan Ringan,Tidak
30,46,187,65,3,Hujan Ringan,Tidak
90,91,373,46,6,Hujan Sedang,Banjir
92,78,246,42,8,Hujan Sedang,Tidak
175,167,557,79,5,Hujan Berat,Banjir
62,86,307,46,8,Hujan Ringan,Tidak
60,68,293,52,8,Hujan Sedang,Tidak
70,80,296,17,8,Hujan Sedang,Tidak
69,74,209,76,8,Hujan Sedang,Tidak
64,58,240,33,6,Hujan Ringan,Tidak
99,111,426,30,2,Hujan Sedang,Banjir
98,93,318,30,9,Hujan Sedang,Tidak
80,102,370,18,8,Hujan Sedang,Banjir
35,45,197,28,5,Hujan Ringan,Tidak
153,125,382,43,3,Hujan Berat,Banjir
55,61,201,23,9,Hujan Ringan,Tidak
105,108,345,16,7,Hujan Sedang,Banjir
56,64,235,63,2,Hujan Ringan,Tidak
53,79,251,65,5,Hujan Ringan,Tidak
66,69,284,40,9,Hujan Ringan,Tidak
32,46,188,70,4,Hujan Ringan,Tidak
66,79,299,42,6,Hujan Ringan,Tidak
110,121,367,69,5,Hujan Sedang,Banjir
69,80,238,44,6,Hujan Sedang,Tidak
65,66,275,63,6,Hujan Sedang,Tidak
170,159,560,16,8,Hujan Berat,Banjir
31,56,257,30,9,Hujan Ringan,Tidak
115,125,460,53,8,Hujan Berat,Banjir
66,81,342,70,5,Hujan Sedang,Tidak
42,71,243,34,3,Hujan Ringan,Tidak
52,57,203,38,6,Hujan Ringan,Tidak
100,95,336,21,5,Hujan Sedang,Banjir
171,173,514,68,3,Hujan Berat,Banjir
101,113,389,74,7,Hujan Sedang,Banjir
65,88,395,24,8,Hujan Ringan,Tidak
41,58,228,62,4,Hujan Ringan,Tidak
100,97,309,70,2,Hujan Sedang,Banjir
69,73,226,52,9,Hujan Ringan,Tidak
51,57,182,54,7,Hujan Ringan,Tidak
62,70,222,64,9,Hujan Sedang,Tidak
172,159,584,32,5,Hujan Berat,Banjir
67,81,276,68,4,Hujan Ringan,Tidak
62,77,229,33,9,Hujan Ringan,Tidak
34,46,213,45,5,Hujan Ringan,Tidak
111,109,430,39,8,Hujan Sedang,Banjir
68,87,369,76,3,Hujan Ringan,Tidak
32,46,142,51,2,Hujan Ringan,Tidak
47,67,265,61,7,Hujan Ringan,Tidak
40,54,209,54,4,Hujan Ringan,Tidak
112,101,349,39,3,Hujan Sedang,Banjir
46,75,269,45,5,Hujan Ringan,Tidak
158,151,565,52,6,Hujan Berat,Banjir
119,114,324,57,5,Hujan Sedang,Banjir
64,78,290,38,4,Hujan Sedang,Tidak
147,137,396,78,4,Hujan Berat,Banjir
186,163,684,72,7,Hujan Berat,Banjir
72,88,363,24,5,Hujan Sedang,Banjir
31,54,191,20,9,Hujan Ringan,Tidak
30,48,210,53,7,Hujan Ringan,Tidak
38,45,211,23,2,Hujan Ringan,Tidak
50,52,214,78,4,Hujan Ringan,Tidak
146,135,387,50,6,Hujan Berat,Banjir
47,57,205,45,4,Hujan Ringan,Tidak
56,64,227,20,2,Hujan Ringan,Banjir
97,89,250,15,2,Hujan Sedang,Banjir
126,143,597,15,4,Hujan Berat,Banjir
59,69,211,45,9,Hujan Ringan,Tidak
33,51,212,73,3,Hujan Ringan,Tidak
114,115,404,23,5,Hujan Sedang,Banjir
40,51,164,38,5,Hujan Ringan,Tidak
80,96,384,77,6,Hujan Sedang,Tidak
49,57,189,43,4,Hujan Ringan,Tidak
61,71,235,62,9,Hujan Ringan,Tidak
83,93,252,59,8,Hujan Sedang,Tidak
77,88,286,15,3,Hujan Sedang,Banjir
35,55,220,15,4,Hujan Ringan,Tidak
78,80,318,58,4,Hujan Sedang,Tidak
169,168,684,28,8,Hujan Berat,Banjir
127,110,295,72,5,Hujan Berat,Banjir
39,56,185,20,8,Hujan Ringan,Tidak
37,52,212,73,6,Hujan Ringan,Tidak
54,78,283,67,5,Hujan Ringan,Tidak
42,60,196,63,7,Hujan Ringan,Tidak
113,129,476,64,9,Hujan Sedang,Banjir
71,83,244,61,8,Hujan Sedang,Tidak
42,66,233,37,2,Hujan Ringan,Tidak
69,95,408,53,7,Hujan Sedang,Tidak
61,82,349,54,2,Hujan Ringan,Banjir
55,81,297,54,9,Hujan Ringan,Tidak
66,81,275,61,6,Hujan Ringan,Tidak
115,108,366,22,5,Hujan Sedang,Banjir
94,109,399,19,3,Hujan Sedang,Banjir
68,78,336,54,9,Hujan Sedang,Tidak
61,76,257,18,9,Hujan Ringan,Tidak
119,101,365,17,2,Hujan Sedang,Banjir
111,120,513,38,2,Hujan Sedang,Banjir
105,113,475,23,5,Hujan Sedang,Banjir
51,76,315,17,4,Hujan Ringan,Banjir
113,104,312,16,2,Hujan Sedang,Banjir
54,65,183,53,4,Hujan Ringan,Tidak
38,58,240,39,4,Hujan Ringan,Tidak
44,69,242,24,9,Hujan Ringan,Tidak
68,90,300,78,5,Hujan Sedang,Tidak
149,127,451,65,7,Hujan Berat,Banjir
112,111,379,48,5,Hujan Berat,Banjir
46,69,248,40,2,Hujan Ringan,Tidak
52,72,259,41,7,Hujan Ringan,Tidak
42,52,207,71,5,Hujan Ringan,Tidak
45,60,239,41,2,Hujan Ringan,Tidak
41,62,219,34,3,Hujan Ringan,Tidak
33,48,136,65,2,Hujan Ringan,Tidak
72,98,288,51,6,Hujan Sedang,Tidak
114,94,306,16,5,Hujan Sedang,Banjir
120,117,370,53,5,Hujan Berat,Banjir
71,85,341,66,9,Hujan Sedang,Tidak
141,109,340,17,9,Hujan Berat,Banjir
40,57,178,53,2,Hujan Ringan,Tidak
63,88,376,19,6,Hujan Ringan,Banjir
102,87,282,75,9,Hujan Sedang,Tidak
44,60,238,47,2,Hujan Ringan,Tidak
110,116,442,60,8,Hujan Sedang,Banjir
55,64,241,53,5,Hujan Ringan,Tidak
196,158,615,48,5,Hujan Berat,Banjir
40,62,198,33,6,Hujan Ringan,Tidak
76,99,312,51,5,Hujan Sedang,Banjir
134,122,502,39,5,Hujan Berat,Banjir
103,96,308,71,3,Hujan Sedang,Banjir
33,53,195,72,5,Hujan Ringan,Tidak
80,96,372,58,2,Hujan Sedang,Banjir
41,55,170,69,2,Hujan Ringan,Tidak
63,70,279,34,3,Hujan Sedang,Banjir
34,53,169,26,6,Hujan Ringan,Tidak
81,82,351,57,2,Hujan Sedang,Banjir
44,72,233,72,6,Hujan Ringan,Tidak
60,70,267,75,4,Hujan Ringan,Tidak
57,67,252,70,6,Hujan Ringan,Tidak
58,80,273,43,4,Hujan Ringan,Tidak
111,88,378,38,2,Hujan Berat,Banjir
58,60,164,17,6,Hujan Ringan,Tidak
58,73,322,67,2,Hujan Ringan,Tidak
53,57,190,30,3,Hujan Ringan,Tidak
43,56,171,22,7,Hujan Ringan,Tidak
92,92,365,42,9,Hujan Sedang,Tidak
59,66,225,76,3,Hujan Ringan,Tidak
116,110,452,79,9,Hujan Berat,Banjir
152,127,395,15,6,Hujan Berat,Banjir
62,79,244,76,4,Hujan Ringan,Tidak
48,69,294,60,5,Hujan Ringan,Tidak
